GiftID,Latitude,Longitude,Weight,TripID
370,64.6372,43.5714,15.5393,1
942,64.841,41.5739,14.1943,1
2679,63.7786,41.2555,1,1
3832,64.7453,41.9138,50,1
10144,63.1053,42.7668,18.4496,1
11625,64.5393,43.2034,10.1835,1
15269,64.8567,41.5067,1,1
16561,62.8175,41.1165,3.86233,1
18517,63.817,40.8145,1,1
21168,64.4634,42.0075,13.425,1
26696,63.0641,43.1326,1,1
34416,62.9487,40.5166,50,1
37103,63.5857,42.9211,1.58918,1
37573,64.4826,43.4655,1,1
37669,64.3628,42.8565,33.6651,1
39335,64.451,43.139,1,1
40999,63.0559,41.0562,1,1
47938,64.886,43.1013,1,1
51111,62.4532,42.614,1.56531,1
51593,62.875,40.4899,29.6621,1
53421,62.9562,40.075,36.0369,1
59207,62.2863,41.86,26.7144,1
62680,64.7653,43.4985,13.3269,1
63626,64.5085,40.9269,1,1
71729,65.3695,41.8682,1,1
73303,65.8102,42.1447,44.1782,1
79080,64.0547,43.0981,15.6796,1
79170,64.3939,42.6388,10.8543,1
82439,63.0128,42.6984,30.1075,1
83582,65.303,42.7491,5.08553,1
84040,65.9019,42.8335,1,1
86187,62.5713,41.4698,6.37038,1
87189,64.323,42.561,33.9505,1
89699,64.7723,43.2007,23.2576,1
89975,65.7646,42.7149,16.5884,1
90287,64.8124,41.5858,1,1
90444,63.3974,42.0479,16.7672,1
92105,62.3793,42.3246,1,1
97163,64.2258,41.3923,1,1
97205,62.6849,41.7534,1,1
97237,62.6738,41.629,14.637,1
98267,63.4347,42.5292,5.37338,1
1054,58.7653,57.4028,10.4669,2
1848,58.6509,56.5598,8.9451,2
6466,60.7201,57.4092,19.3408,2
12883,59.2339,57.9115,1,2
16634,59.1781,56.7399,50,2
17149,59.2143,58.341,11.8025,2
18029,59.571,56.1725,1,2
21128,60.121,56.4612,1,2
22495,59.6106,57.3333,1,2
22882,59.4588,57.2311,31.415,2
25254,60.5452,57.4636,6.67662,2
25292,60.001,57.3941,10.7522,2
25439,60.8789,57.261,20.7984,2
26325,58.0447,57.2333,1,2
27638,60.6329,56.4485,15.1814,2
28731,59.1231,57.5326,1,2
29667,60.2747,56.8855,40.2368,2
34557,59.0325,56.1028,16.1375,2
41467,59.4547,55.1687,32.1642,2
41523,59.7953,55.0217,30.7818,2
44327,58.4344,56.2278,9.32244,2
45372,60.2373,57.2826,50,2
51529,59.5056,55.2107,38.3861,2
55905,57.9253,55.5951,15.4277,2
55929,60.8296,55.822,5.96496,2
58360,58.2347,56.3384,50,2
66474,59.0962,58.2946,1,2
73310,60.7204,57.4464,28.7286,2
74266,59.8524,55.4595,1,2
76399,60.9844,55.2752,11.9095,2
76508,59.7544,57.0564,1,2
76955,58.4998,56.9206,1,2
77471,58.649,56.8007,1,2
79160,58.6047,57.1428,7.48781,2
84980,59.6479,55.0907,1,2
85325,60.5323,55.0759,27.8677,2
85905,60.6568,55.2423,2.22477,2
87097,60.5053,55.2539,50,2
90818,59.4843,55.0542,1,2
91236,60.6224,57.0496,14.4271,2
93984,60.6382,54.8259,28.4456,2
95033,58.8539,57.5727,17.1591,2
95336,58.3739,57.3608,1,2
97265,60.0199,55.9289,8.32085,2
1128,61.5682,51.1067,1,3
5025,60.9318,52.819,4.33381,3
8451,62.9129,51.1052,1,3
10641,63.567,53.3522,15.4794,3
14935,63.1688,50.5575,25.7846,3
15522,60.7513,52.4709,13.7638,3
17247,63.1286,51.7006,46.8461,3
18540,60.6869,51.2804,20.5113,3
21695,61.1731,54.3629,1,3
24591,63.3366,51.2495,35.248,3
25744,62.6893,52.1697,13.5101,3
28305,61.4481,51.4939,7.74975,3
30106,60.7314,51.5924,1,3
30193,62.8605,52.3114,27.2828,3
34048,60.8174,51.3629,38.9039,3
35751,64.4364,52.1093,30.412,3
35756,63.6564,51.7391,26.0338,3
36126,61.0876,54.4667,1,3
39741,64.261,52.3514,1,3
42916,61.8985,50.4564,11.479,3
44246,61.7505,50.5534,27.4059,3
44678,63.8186,51.38,11.3448,3
47463,63.9605,52.1398,9.25436,3
48937,60.7544,53.0882,1,3
51705,61.6555,51.6602,12.1372,3
51780,63.4653,53.4371,24.6423,3
52226,62.3416,50.6591,1,3
53330,62.7744,50.9513,1,3
54205,61.0484,54.4073,1,3
54340,61.5599,53.1864,14.9254,3
55010,62.1484,50.9058,19.3172,3
56400,60.3614,52.1976,2.50437,3
56628,63.9124,53.8291,1,3
56782,61.4958,52.0082,12.9593,3
57897,60.6561,53.2421,9.55441,3
60493,62.6571,53.5492,1,3
62170,63.5089,50.847,6.6138,3
63022,60.719,51.709,12.4417,3
65910,60.4875,52.7309,1,3
68857,62.3612,50.6655,21.1487,3
69284,61.0778,54.2575,1,3
69798,60.8091,53.3314,14.4151,3
70517,62.1265,50.5786,25.7894,3
74705,61.9122,51.6458,42.048,3
75129,61.5988,54.1054,43.7637,3
76930,63.2375,53.4255,29.9641,3
77974,60.2703,52.277,19.0361,3
79026,62.5798,51.7759,1,3
80529,63.0622,50.8598,42.421,3
80874,63.2838,52.6777,8.377,3
81298,61.6745,52.4842,18.663,3
81560,61.3725,52.7584,14.6616,3
85521,61.5363,51.9353,6.12796,3
87699,63.4273,50.939,11.8237,3
88915,61.5726,54.0524,36.6038,3
90404,61.3689,51.3724,1,3
91466,61.8692,53.4862,15.0835,3
92444,62.7388,52.6963,19.8963,3
94372,60.3032,52.2859,1,3
98767,61.9649,53.0544,1,3
99610,60.5998,52.4652,1,3
716,58.5534,39.1248,16.3017,4
1813,58.9846,39.2552,16.7116,4
3698,59.5722,41.551,1,4
5400,58.6088,39.0526,30.0975,4
6133,58.5716,40.2626,20.3596,4
7452,59.1843,39.7563,1,4
7607,60.1226,40.8329,7.90785,4
10298,60.5482,41.0347,3.68447,4
12336,60.3767,40.1845,5.83198,4
13947,58.733,39.8589,1.88374,4
16817,59.4009,38.9856,13.0738,4
19887,58.8212,40.9199,38.5964,4
24953,58.7402,40.6586,31.0805,4
26312,60.0348,40.658,8.02787,4
27023,60.2466,40.9746,1,4
28892,60.0258,40.6777,1,4
30847,61.2607,39.936,17.1086,4
32227,59.5562,39.5528,22.1792,4
32626,59.8062,38.7312,21.3555,4
41917,60.1153,41.4001,1,4
42272,60.9183,39.2621,1,4
43142,62.2607,39.8731,1,4
46891,59.8302,39.2315,1,4
46923,59.9399,38.975,1,4
48547,59.2586,41.2354,1,4
49472,60.7651,40.3897,16.8089,4
50614,60.0298,39.2575,20.1897,4
50815,59.5577,41.4349,1,4
53728,58.9859,40.7917,1,4
59011,61.3377,39.0688,16.693,4
59251,61.9963,40.5497,1,4
60921,62.2447,40.2548,47.9383,4
63918,60.403,40.2927,8.16685,4
64236,62.0805,38.9277,1,4
64249,60.4333,40.5431,24.8014,4
69239,59.0834,39.8541,27.0022,4
70624,61.131,40.3531,1,4
73516,61.8317,39.487,7.42924,4
73790,60.55,40.7144,23.6546,4
75249,59.9451,39.7877,1,4
77005,61.0865,40.299,36.7418,4
77427,58.4308,39.8288,33.1226,4
83828,59.1253,39.5847,8.29158,4
84598,60.0586,41.3883,28.094,4
88163,61.7698,40.2719,1,4
94683,59.3073,39.3223,1,4
99196,61.2157,39.0322,1,4
2673,58.9151,59.5113,29.2584,5
4077,57.9399,59.1888,1,5
5665,57.2276,61.1674,15.1099,5
9854,55.8307,60.9511,6.44553,5
10085,55.3881,60.2015,1,5
10679,57.7592,58.031,1,5
18576,56.7606,59.9532,10.6627,5
20845,57.875,60.2108,38.5475,5
22747,57.5379,60.205,50,5
23365,56.5347,61.3431,1,5
23883,55.9628,60.9752,13.5934,5
24149,55.5046,60.3241,1,5
25618,57.9943,60.0941,1,5
26804,58.2655,60.0224,1,5
27667,56.582,59.0803,7.91042,5
40374,56.6356,58.2828,1.51675,5
40650,55.6697,60.2986,1,5
43254,58.4889,60.6984,27.4114,5
44424,55.9009,58.4639,6.30592,5
44668,59.0538,60.6612,6.5554,5
46499,57.9052,59.4769,4.08106,5
48243,57.155,59.4852,49.5956,5
51429,58.9558,60.6163,21.2593,5
53585,57.8929,61.1095,1,5
53948,57.9534,59.414,1,5
54227,57.5321,57.7087,9.00569,5
57849,56.0061,59.2288,1,5
58420,57.4865,57.7554,30.2088,5
60185,56.4935,58.5038,1,5
64357,57.0767,60.1633,21.0732,5
66129,55.7846,60.2897,4.62113,5
67759,57.4778,61.0725,29.7641,5
69701,58.7178,59.6986,27.712,5
76029,56.918,59.0778,1,5
76512,58.3623,58.8846,5.59481,5
77878,58.9837,60.8608,1,5
78368,57.9612,59.7273,5.30926,5
82237,59.226,60.0313,14.8409,5
85574,57.4781,59.6423,6.96216,5
88758,58.3696,60.373,13.6482,5
89802,56.8049,58.7218,8.23573,5
90147,56.9034,58.7805,1,5
91933,56.1904,59.6408,1,5
92512,56.2334,59.2685,48.1023,5
93611,57.5481,59.2412,11.1651,5
94101,56.8515,59.0529,4.4745,5
97279,56.8971,60.1619,38.6726,5
97333,58.4484,59.9285,17.2073,5
99256,58.1655,61.0542,1,5
5081,67.7085,58.2774,21.4029,6
5111,67.7848,59.3411,1,6
6484,65.8107,57.0845,7.69114,6
6590,64.6342,58.3149,50,6
9268,67.4159,58.0416,5.34126,6
11616,65.687,56.5742,1,6
13829,64.978,58.4626,4.70219,6
14313,65.1783,59.2207,9.922,6
15603,68.4311,58.9701,1,6
16556,67.9642,58.4981,1,6
18622,67.3459,57.8117,6.36709,6
20569,64.6578,57.9107,1,6
20885,69.7971,59.9323,26.0357,6
28915,67.9551,58.4982,1,6
29333,67.1862,59.719,1,6
30503,66.1759,57.9761,3.59917,6
31654,67.4005,60.1095,1,6
34574,66.7927,58.0712,17.7607,6
34893,66.3293,58.1746,18.572,6
38123,68.2214,59.6845,9.29028,6
40474,66.8052,57.7029,1,6
41292,66.2683,56.433,12.3296,6
43287,65.1514,58.4041,1,6
43765,67.5739,59.5974,1,6
47084,67.0327,59.9163,24.1809,6
47881,66.9039,57.7217,32.751,6
49132,65.5702,59.6556,3.21328,6
49212,66.8259,59.2789,10.8457,6
51001,68.2628,56.5625,1,6
53127,66.0728,58.5952,8.64228,6
54327,65.8824,56.4821,1,6
55085,65.4506,58.1438,39.3749,6
55161,64.2612,59.0255,22.8952,6
55754,69.9213,59.2866,16.5322,6
56072,68.257,57.1959,18.9262,6
56467,69.7473,59.7516,25.8023,6
57266,67.9733,57.753,1,6
57492,67.5667,59.7889,1,6
57883,64.7109,59.7305,16.7524,6
61683,67.0823,57.5417,30.7701,6
62394,67.8773,56.6318,1,6
62597,67.2706,59.436,24.3115,6
64527,64.7801,60.24,1,6
64724,65.557,60.3939,7.99949,6
65394,67.9225,59.9229,1,6
66434,68.4856,57.9727,1.24031,6
67833,64.7062,57.7354,38.8034,6
74398,64.4716,60.055,3.44726,6
75739,66.1336,57.5381,1,6
75981,65.8043,57.5137,12.0527,6
76237,66.1629,58.4091,50,6
80683,66.9121,57.9155,20.9301,6
82190,68.4767,57.6659,3.74698,6
82941,64.3374,58.9917,1,6
83258,65.9563,60.5231,1,6
87251,67.035,56.9409,42.0309,6
87764,65.9672,60.543,1,6
88515,66.1386,60.5366,1,6
89101,64.9245,57.6472,24.7474,6
90947,67.4938,56.5298,19.1053,6
92491,67.6022,58.0611,43.9916,6
93302,65.2086,57.9714,32.5463,6
95476,67.5083,58.9958,1,6
96946,70.1291,59.2691,40.2809,6
7302,55.788,41.9966,1,7
9354,54.754,43.1492,8.69645,7
9375,54.993,42.2593,32.1732,7
10351,54.6868,40.7802,1,7
14064,54.9462,41.6882,40.8608,7
18970,55.816,43.822,12.9351,7
19410,54.0342,43.1016,10.0549,7
19617,56.3368,43.3911,19.6606,7
24198,55.9668,42.6975,1,7
24892,54.8149,41.3781,15.6774,7
29253,55.4651,43.3075,17.1614,7
32468,55.9003,42.1171,11.9187,7
46385,54.0012,44.1551,1,7
49937,54.6411,43.4718,1,7
