TripID,Cost
1,37699.2
2,66721.4
3,51057.7
4,93413
5,50531.9
6,52895
7,61126
8,112040
9,95133.8
10,86484.7
11,36172.6
12,84814.3
13,84675.5
14,84101.1
15,103776
16,76481.4
17,93266.6
18,76571.1
19,67454.9
20,100236
21,87751.2
22,55163.5
23,84507.1
24,72056.9
25,104901
26,164088
27,96809.2
28,119953
29,37108.7
30,111438
31,95643.8
32,92845.3
33,50689.6
34,95398.8
35,92367.4
36,32316.7
37,91421.5
38,80247.9
39,54244.5
40,89028.3
41,89943
42,61847.9
43,77907.8
44,92493.5
45,45621.7
46,61672.2
47,94608.9
48,55667.7
49,140513
50,145565
51,57004.6
52,73600.9
53,62281.3
54,61610.5
55,93153.7
56,73490.2
57,76953.9
58,77698.8
59,50689.6
60,74819.1
61,38417.7
62,76670.3
63,88390.5
64,57638.2
65,81921.2
66,67679.4
67,77813.9
68,90092.5
69,75771.4
70,72795.3
71,51786.6
72,95903.6
73,77247.6
74,40796.5
75,56060.8
