ID,GiftID,TripID,Weight
1,88267,1,47.5452
2,31042,1,39.4815
3,51690,1,39.3533
4,37925,1,27.3837
5,79142,1,26.3893
6,92677,1,25.5983
7,23254,1,25.4081
8,72145,1,24.2032
9,74786,1,23.345
10,76657,1,23.1791
11,35951,1,22.7557
12,99327,1,22.2531
13,64156,1,21.1688
14,4696,1,20.9452
15,81466,1,19.254
16,45150,1,19.1122
17,6539,1,18.8754
18,59763,1,18.2893
19,54699,1,17.2591
20,3863,1,17.2528
21,10598,1,17.1433
22,71961,1,15.7853
23,3192,1,14.9397
24,22269,1,14.1918
25,59456,1,13.7374
26,28753,1,12.7324
27,61829,1,11.7421
28,11533,1,11.4899
29,74196,1,9.77845
30,23764,1,7.95577
31,92200,1,5.80408
32,79355,1,4.59107
33,69032,1,1
34,59098,1,1
35,75278,1,1
36,77614,1,1
37,41489,1,1
38,88242,1,1
39,35753,1,1
40,89745,1,1
41,90081,1,1
42,11782,1,1
43,9863,1,1
44,7797,1,1
45,98756,1,1
46,70349,1,1
47,16069,2,36.4397
48,78420,2,29.4052
49,34337,2,24.0712
50,71429,2,16.2449
51,82998,2,15.4285
52,48239,2,15.3058
53,75019,2,13.8959
54,47143,2,13.0773
55,71746,2,12.9922
56,76362,2,11.6793
57,3485,2,9.28647
58,6568,2,3.72519
59,53352,2,2.65227
60,16393,2,1
61,14135,2,1
62,84682,2,1
63,82229,2,1
64,78673,2,1
65,74644,2,1
66,45709,2,1
67,36117,2,1
68,35834,2,1
69,28702,2,1
70,28549,2,1
71,25912,2,1
72,23634,2,1
73,18017,2,1
74,16545,2,1
75,96459,2,1
76,6425,3,50
77,83129,3,50
78,65456,3,46.7323
79,43975,3,43.4715
80,79130,3,39.4252
81,50771,3,38.0752
82,78214,3,38.0279
83,25686,3,37.8369
84,37534,3,33.2316
85,85329,3,30.1899
86,87982,3,28.2529
87,10148,3,27.0519
88,77791,3,26.8085
89,16685,3,25.4641
90,41291,3,19.0046
91,17830,3,13.5076
92,31665,3,10.7609
93,67311,3,9.66753
94,36111,3,7.82614
95,93013,3,6.02932
96,93507,3,5.66158
97,2122,3,4.2675
98,66862,3,3.87121
99,61850,3,1
100,23522,3,1
101,22496,3,1
102,20160,3,1
103,64624,3,1
104,54081,3,1
105,80053,3,1
106,8628,3,1
107,88402,3,1
108,56122,3,1
109,32128,4,49.3191
110,11971,4,45.0549
111,80791,4,44.8042
112,37049,4,40.6264
113,41309,4,40.2116
114,39441,4,39.8586
115,62919,4,35.4668
116,91538,4,29.933
117,84372,4,28.0738
118,51074,4,26.2274
119,33040,4,25.1071
120,57905,4,21.0324
