ROW,GiftID,Latitude,Longitude,Weight
1,37,50.2421,-95.5377,1
2,44,42.3208,-74.1175,8.44464
3,53,33.577,-84.104,28.4739
4,79,33.8135,-79.0619,1
5,93,42.0738,-84.8292,10.2175
6,122,42.248,-77.149,40.8985
7,146,46.3527,-84.4393,29.0938
8,200,47.2142,-82.5528,1
9,256,40.7491,-86.9241,27.8067
10,262,44.6873,-86.073,1
11,293,35.6446,-87.186,20.5432
12,302,33.8867,-85.518,50
13,338,50.6528,-81.9104,1
14,345,33.2185,-88.015,2.94111
15,371,51.8876,-89.8733,8.55495
16,380,40.196,-83.1269,2.57979
17,396,37.1822,-81.3799,4.32254
18,460,43.4436,-81.9327,1
19,500,50.5689,-94.5907,1
20,513,43.2781,-87.6366,1
21,540,43.9094,-75.4562,21.2814
22,548,35.4505,-89.4268,2.77911
23,609,29.9273,-82.6308,1
24,653,38.6625,-85.5329,13.5612
25,661,35.4391,-89.4343,21.4005
26,680,35.9139,-81.0544,1
27,711,36.6226,-94.3923,28.2089
28,712,38.0219,-86.0688,24.8773
29,741,38.9624,-82.4048,3.65517
30,765,48.2656,-92.539,1
31,791,37.6651,-80.6716,10.3386
32,800,55.4278,-85.6354,27.9815
33,808,39.2781,-80.9493,1
34,919,46.7935,-82.2881,1
35,959,39.7716,-91.7223,30.0766
36,982,38.5423,-76.7334,9.82688
37,997,38.417,-88.2535,22.9185
38,1012,48.9848,-78.9745,3.94159
39,1055,31.2732,-91.0588,17.8874
40,1102,54.9546,-88.0126,49.4892
41,1120,31.6135,-81.2831,14.1735
42,1143,32.1948,-81.8553,18.038
43,1268,44.0811,-91.2922,15.3131
44,1348,40.7039,-86.4748,29.2951
45,1392,38.894,-75.7446,10.7251
46,1410,50.4436,-90.5984,15.4781
47,1419,30.9205,-82.6921,1
48,1529,44.7292,-97.7422,1
49,1547,54.0877,-88.9453,1
50,1580,37.1766,-86.1513,5.27814
51,1582,43.7003,-94.0454,13.5889
52,1630,53.3471,-89.4649,35.8916
53,1646,42.2652,-86.5084,1
54,1674,38.378,-88.9919,12.2447
55,1740,46.764,-89.164,14.7196
56,1764,36.8374,-81.4653,22.1096
57,1793,43.9385,-78.2378,1
58,1858,47.8856,-88.179,20.7391
59,1891,47.8222,-77.6342,11.3457
60,1896,44.723,-81.4848,11.3057
61,1917,54.6507,-86.0454,28.9515
62,2049,30.2754,-90.3788,21.088
63,2063,47.6068,-88.4685,32.1064
64,2099,33.6295,-92.6994,50
65,2153,47.2795,-83.3767,3.60549
66,2167,40.3258,-87.9781,27.1014
67,2183,50.9294,-93.5063,1
68,2239,53.6532,-84.2708,1.01908
69,2280,44.5975,-74.8358,50
70,2308,50.7855,-82.5615,1
71,2312,42.5967,-74.74,5.18501
72,2339,31.4597,-91.1463,1
73,2343,29.9508,-85.1484,11.2486
74,2375,46.4474,-96.0679,50
75,2397,40.4137,-85.6582,1
76,2411,37.0149,-87.3098,9.12031
77,2484,52.6179,-91.3672,50
78,2503,39.7987,-74.5481,35.183
79,2515,34.8424,-85.4836,14.7513
80,2589,39.6944,-90.0303,29.3158
81,2661,47.0884,-93.0047,1
82,2663,47.1251,-96.7725,25.3642
83,2667,50.9696,-83.1018,1
84,2691,35.234,-94.3716,1
85,2705,41.4011,-90.922,1
86,2745,54.6214,-84.7071,1
87,2837,35.4725,-81.4352,28.4273
88,2848,34.9327,-83.5516,39.7401
89,2850,42.63,-80.6887,19.3481
90,2852,43.7872,-82.5972,50
91,2922,37.2761,-89.7186,1
92,2971,47.0515,-95.8546,9.89365
93,2986,52.3473,-97.2378,23.566
94,3038,50.1298,-86.4781,1
95,3041,43.589,-77.3687,1
96,3044,41.8558,-80.0682,21.2908
97,3056,44.0548,-75.4153,14.0531
98,3074,42.0144,-79.8975,5.69932
99,3091,44.0588,-79.3217,47.3222
100,3133,48.4675,-79.948,2.4607
101,3136,31.8642,-86.3248,1
102,3150,43.8827,-92.2684,3.47449
103,3154,53.7437,-91.6408,37.2826
104,3164,41.6199,-75.3402,11.3576
105,3180,46.2855,-98.5333,9.8676
106,3214,41.3238,-82.742,1
107,3300,45.3819,-93.0236,1
108,3306,30.3389,-87.65,1
109,3352,54.523,-82.9548,3.70376
110,3394,37.7267,-76.693,1
111,3506,49.4018,-95.1355,34.5576
112,3519,35.4955,-82.4163,22.3887
113,3524,47.973,-95.4496,1
114,3534,49.425,-97.4375,42.641
115,3563,45.321,-77.5177,1
116,3581,31.3272,-88.4936,1
117,3631,36.0118,-91.4581,1
118,3650,36.6659,-90.5319,19.3694
119,3712,39.2201,-81.2149,25.7802
120,3714,35.1866,-77.2277,1
121,3746,39.1795,-87.2563,1
122,3779,35.9807,-92.5067,1
123,3850,34.6102,-78.186,8.42803
124,3866,34.1546,-83.5814,16.9447
125,3878,35.3464,-86.2345,10.2532
126,3896,39.9708,-96.191,42.5166
127,3936,37.7654,-89.4712,1
128,3976,30.8028,-91.733,27.6445
129,4003,34.368,-81.5966,2.71856
130,4017,33.3529,-87.4474,1
131,4137,39.3891,-97.1328,21.3464
132,4149,44.4419,-99.3937,32.463
133,4167,54.3981,-87.617,29.5055
134,4212,41.2221,-89.6095,1.81846
135,4216,45.0675,-77.131,6.54812
136,4279,52.5726,-87.4071,9.357
137,4342,33.3021,-86.6576,1
138,4377,41.4097,-87.2807,1.52721
139,4380,49.5205,-91.0941,22.227
140,4425,47.9531,-82.0687,1
141,4450,34.287,-81.2276,28.6235
142,4452,37.3146,-82.8787,1
143,4524,45.2682,-99.1974,25.3811
144,4564,39.5605,-74.666,12.1358
145,4589,38.3161,-84.4742,3.35609
146,4593,54.4306,-90.6395,20.1009
147,4658,30.9911,-81.7263,2.38856
148,4660,47.2241,-78.0465,1
149,4738,32.6463,-92.28,1
150,4770,43.3272,-96.4608,3.1198
151,4796,48.9877,-93.8243,1
152,4807,46.2049,-91.5065,1
153,4836,39.3896,-78.1158,1
154,4857,50.2582,-83.3767,37.1424
155,4870,42.3054,-93.7905,45.2864
156,4877,42.5893,-77.0169,18.0794
157,4887,41.267,-94.236,15.0252
158,4903,51.4214,-87.8119,1
159,4924,47.2204,-97.8596,1
160,4925,52.7207,-87.2875,1
161,4962,43.5193,-83.9946,4.3476
162,5002,47.5746,-92.8189,1
163,5032,42.7755,-85.7725,4.37473
164,5051,37.8053,-78.8486,17.3488
165,5063,44.1382,-75.8526,17.2751
166,5122,42.1087,-83.0921,1
