OrderID, TripId, GiftId, Weight, Distance
1, 1, 98074, 11.9679, 210.261
2, 1, 3317, 21.8855, 2.50694
3, 1, 21397, 22.172, 1.04383
4, 1, 13293, 21.2354, 1.68383
5, 1, 21009, 1, 2.21002
6, 1, 86891, 1, 1.67473
7, 1, 35023, 32.2448, 0.800608
8, 1, 42955, 7.6211, 2.28378
9, 1, 96402, 1, 1.58917
10, 1, 50594, 1, 0.926543
11, 1, 72499, 3.72285, 1.98914
12, 1, 72288, 1, 2.23964
13, 1, 69705, 1, 1.99871
14, 1, 48708, 1, 1.71752
15, 1, 91601, 26.7883, 1.78808
16, 1, 92952, 15.8514, 1.88964
17, 1, 11955, 41.7055, 1.3072
18, 1, 89623, 1, 4.24302
19, 1, 31413, 1, 2.55613
20, 1, 35514, 24.9576, 1.8612
21, 1, 31223, 26.0532, 2.43637
22, 1, 48250, 10.7375, 1.08385
23, 1, 50646, 13.1501, 2.9074
24, 1, 84758, 11.6037, 2.27774
25, 1, 96766, 12.133, 1.20158
26, 1, 13599, 28.6281, 2.56772
27, 1, 43199, 1, 2.28423
28, 1, 77417, 1, 2.32724
29, 1, 8560, 1, 1.81034
30, 1, 47782, 1, 0.983309
31, 1, 3860, 50, 1.99313
